id,budget,popularity,runtime,revenue,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
46,3906840,2.382068,95.0,4300000,10,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
47,80000000,16.646029000000002,91.0,660940780,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,44000000,20.328822,167.0,155760117,12,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
49,0,8.984386,94.0,653951,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,38000000,8.105708,118.0,120000000,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
51,560000,1.572904,102.0,1500000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
52,12000000,4.473326999999999,160.0,25333333,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,1.012665,97.0,11000000,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,0,5.410839,98.0,17514553,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
55,20000000,8.759801,107.0,46069568,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,9.122717999999999,95.0,36448200,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
57,0,2.94798,97.0,1056938,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,125000000,17.038823999999998,125.0,238207122,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,0,1.8824459999999998,95.0,119563,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
60,14000000,3.909079,95.0,25482931,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,150000000,23.065078,144.0,599045960,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,4000000,1.8010709999999999,105.0,14400000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,0,6.3816120000000005,124.0,25232289,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
64,5000000,7.743144,100.0,14000000,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
65,12000000,11.160699000000001,115.0,17654912,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,1500000,8.822275999999999,92.0,11806119,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,12000000,5.145185,108.0,204940,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,6.303552,133.0,154120,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,2000000,14.284787,129.0,13129846,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,85000000,2.238808,104.0,158468292,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
71,29000000,12.092096000000002,103.0,21126225,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
72,0,7.667491,126.0,16756372,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,11000000,8.290384,85.0,8266343,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,0,0.9195559999999999,90.0,17393,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,445000,2.482536,84.0,2300000,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,17000000,9.665251,106.0,24922237,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,500000,0.660663,157.0,500000,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
78,6000000,10.451986,98.0,39846344,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,2.6333990000000003,122.0,35610100,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
80,1500000,6.636625,102.0,779820,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
81,15000000,4.9840800000000005,118.0,9237470,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
82,10284523,4.3490459999999995,104.0,11588205,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
83,43000000,10.947957,104.0,91974818,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
84,28000000,7.482864999999999,116.0,40400657,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
85,2000000,10.239941,85.0,13101672,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
86,50000000,7.260574,109.0,152022101,6,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
87,8000000,9.741644,105.0,106260000,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,7500000,12.314278,91.0,32392047,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,20000000,13.655178,126.0,13162475,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
90,0,4.359884,109.0,140081992,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
91,30000000,25.261865,111.0,180949000,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,3.83196,106.0,215339,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,35000000,1.690768,135.0,15000000,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
94,0,14.322814000000001,96.0,2724474,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
95,15000000,18.184055999999998,147.0,20117339,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
96,0,0.181963,72.0,14353,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,2500000,2.942355,98.0,3358,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
98,0,1.0421120000000001,158.0,73000,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
99,10500000,11.003515,90.0,23000000,8,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,6000000,5.529808,120.0,46616067,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,7000000,7.958502,91.0,9229401,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
102,60000000,11.93646,135.0,313542341,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
103,0,1.066558,102.0,14961069,8,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,0,2.401289,121.0,5310554,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,0,1.590383,117.0,149521495,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,10900000,13.454169,105.0,16505460,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,31000000,6.523155,105.0,15134293,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,72000000,20.755149,177.0,210000000,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
109,14000000,3.873796,97.0,18535191,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
110,15000000,3.210693,189.0,34562222,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
111,75000000,13.136791,123.0,67631903,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,35000000,5.093704,111.0,22034832,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
113,100000000,11.696923,122.0,93820758,11,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
114,20000000,4.619593,106.0,51684798,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
115,93000000,32.070725,178.0,871368364,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,25000000,5.00725,86.0,41604473,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,1.6780130000000002,145.0,311,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,0,11.356011,100.0,253625427,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,4.304224,107.0,1796389,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
120,12716953,6.183021,113.0,18814720,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,90000000,8.345985,90.0,347325802,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
122,150000000,12.453452,88.0,448000000,6,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
123,1500000,1.9612080000000003,94.0,5585154,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
124,25000000,8.369176,115.0,91036760,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,7500000,16.376657,95.0,60722734,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
126,40000000,14.622492999999999,125.0,7400000,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127,0,5.695908,105.0,15500000,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,10000000,7.886926,111.0,12008642,12,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
129,18000000,9.929808999999999,100.0,46201432,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
130,2400000,5.2306610000000004,120.0,5731103,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,4000000,10.130541000000001,90.0,9800000,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,6000000,8.278079,93.0,5206,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
133,0,1.079975,97.0,2452566,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
134,65000000,11.73956,95.0,211780824,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,10000000,11.840494999999999,100.0,33000000,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,2000000,1.372493,90.0,300000,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,0,2.490032,92.0,120680,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
138,9000000,8.888278,79.0,4350774,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,10.245682,93.0,3065860,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,110000000,0.9130959999999999,133.0,407711549,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
141,14320000,0.5853970000000001,176.0,14000000,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
142,0,7.008512,101.0,31466789,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
143,3500000,5.353826000000001,108.0,615816,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,18000000,6.675032000000001,98.0,382174,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,4000000,6.216637,108.0,11000000,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
146,0,3.8058110000000003,88.0,9188,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
147,0,10.278957,90.0,19510371,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,39200000,14.131905999999999,126.0,86758912,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
149,0,9.322716999999999,87.0,147214049,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,25000000,5.405958,113.0,432274,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
151,0,1.178642,108.0,18,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
152,0,1.279443,100.0,16905,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,3.520171,92.0,241,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
154,4000000,10.200398,91.0,52425855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,0,2.6204560000000003,90.0,5091888,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,20000000,8.759774,72.0,109862682,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
157,3500000,0.768181,126.0,8262833,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0.56257,94.0,447784,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,63600000,6.047757,102.0,19412993,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
160,32000000,7.54701,107.0,18552460,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,3500000,4.456904,98.0,113783,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
162,0,1.319188,88.0,12277096,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,125000,10.850569,90.0,3200000,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164,9000000,5.997054,93.0,17096053,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,40000000,9.825841,99.0,62771059,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
166,0,0.836108,90.0,25000,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
167,0,8.802715,87.0,1723872,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
168,19000000,10.966014999999999,122.0,144216468,9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
169,5000000,6.501176999999999,113.0,41833347,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,2000000,11.189831,95.0,24600832,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
171,0,9.021668,87.0,55600000,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,5.524866,102.0,2585639,10,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
173,3500000,8.55931,121.0,12000000,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
174,11000000,8.929393,98.0,2807854,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,12468389,6.116093,97.0,29007412,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,38000000,1.406181,106.0,207283925,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
177,90000000,5.496624,91.0,14828081,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
178,0,0.060645000000000004,74.0,532654,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
179,15000000,14.778884,93.0,125212904,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
180,32000000,11.137888,133.0,156167015,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181,30000000,5.844016000000001,130.0,31148328,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
182,0,5.725912,119.0,20957001,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,0,10.313689,104.0,21830957,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184,6000000,9.534232000000001,141.0,17555141,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,82500000,9.796552,107.0,237681299,6,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
186,14000000,1.36737,93.0,161001698,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187,5000000,3.172765,95.0,3833507,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,259000,0.722511,65.0,921000,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
189,180000000,16.088366,98.0,521311860,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,0,12.017861,111.0,16337881,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
191,4000000,5.263187,86.0,16675000,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
192,40000000,7.271503,110.0,79700000,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
193,0,6.395748,91.0,37915971,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,13.762328,90.0,13168027,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
195,4500000,3.3113919999999997,97.0,744816,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,0,1.1656790000000001,96.0,115605,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197,7000000,0.8614729999999999,87.0,136203,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
198,60000000,12.915358,108.0,77920346,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,24000000,3.6929800000000004,107.0,12372410,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,12600000,11.695036,106.0,19054534,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,85000000,10.254314,97.0,144000000,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
202,10000000,11.509677,100.0,3916303,9,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
203,55000000,7.7132309999999995,91.0,110000000,10,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,75000000,14.302910999999998,87.0,527068851,7,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,3200000,6.1746989999999995,94.0,10000000,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
206,2000000,5.396271,97.0,2801508,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
207,0,3.14325,105.0,1543112,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
208,15000000,7.024227000000001,92.0,66000000,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
209,0,8.096719,96.0,4352094,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
210,100000000,8.140709,136.0,108103450,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,22000000,7.145784,105.0,26570463,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
212,7000000,19.726114000000003,124.0,470654000,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
213,0,2.011108,95.0,3418141,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
214,6700000,1.312833,143.0,31000000,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,20000000,13.132126999999999,105.0,1969193,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
216,35000000,7.321172,111.0,173965010,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,35000000,6.493765,90.0,83061158,8,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
218,10000000,11.341505,106.0,85300000,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,2.972928,107.0,5010362,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2600000,2.203949,105.0,3166000,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,12000000,7.2161029999999995,132.0,10652498,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
222,0,8.358541,97.0,754935,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
223,5000000,1.608163,98.0,31649,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
224,49000000,16.628427,127.0,352927224,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
225,0,0.410738,53.0,500,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,11.478361,110.0,6585516,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
227,50000000,7.668829,105.0,28931401,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
228,7500000,8.593196,100.0,26096852,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
229,6244087,11.722424,145.0,638641,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,14000000,1.596058,139.0,2474000,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
231,110000000,7.8250720000000005,120.0,72178895,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,800000,0.941994,114.0,1001437,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
233,0,3.7413300000000005,93.0,2225098,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
